SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width,,,,,,,,,,,,,
CBT066,Cs.(10-4Pk) 6x6 Aquabord,10,4,Aquabord,,6,6,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS0404,Cs.(30) Smooth Artist Pnl: 4x4,30,1,Artist Panel Smooth,,4,4,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS0507,Cs.(30) Smooth Artist Pnl: 5x7,30,1,Artist Panel Smooth,,5,7,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS0606,Cs.(30) Smooth Artist Pnl: 6x6,30,1,Artist Panel Smooth,,6,6,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS0808,Cs.(30) Smooth Artist Pnl: 8x8,30,1,Artist Panel Smooth,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS0810,Cs(36) Smooth Artist Pnl: 8x10,36,1,Artist Panel Smooth,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS0912,Cs(20) Smooth Artist Pnl: 9x12,20,1,Artist Panel Smooth,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1010,Cs(20) Smooth ArtistPnl: 10x10,20,1,Artist Panel Smooth,,10,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1114,Cs(20) Smooth ArtistPnl: 11x14,20,1,Artist Panel Smooth,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1212,Cs(20) Smooth ArtistPnl: 12x12,20,1,Artist Panel Smooth,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1216,Cs(24) Smooth ArtistPnl: 12x16,24,1,Artist Panel Smooth,,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1418,Cs(12) Smooth ArtistPnl: 14x18,12,1,Artist Panel Smooth,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1620,Cs(20) Smooth ArtistPnl: 16x20,20,1,Artist Panel Smooth,,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APS1824,Cs(16) Smooth ArtistPnl: 18x24,16,1,Artist Panel Smooth,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW0612,Cs(20) White Pastelbord - 6x12,20,1,Pastelbord,white,6,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW0618,Cs(20) White Pastelbord - 6x18,20,1,Pastelbord,white,6,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW066,Cs.(30) White Pastelbord - 6x6,30,1,Pastelbord,white,6,6,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW08,Cs.(36) WhitePastelbord - 8x10,36,1,Pastelbord,white,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW0808,Cs.(12) WhitePastelbord - 8x8,12,1,Pastelbord,white,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW09,Cs.(20) Pastelbord  White 9x12,20,1,Pastelbord,white,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW11,Cs.(20) Pastelbord White 11x14,20,1,Pastelbord,white,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW12,Cs.(12) Pastelbord White 12x16,12,1,Pastelbord,white,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW1212,Cs.(12) Pastelbord White 12x12,12,1,Pastelbord,white,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW16,Cs.(20) Pastelbord White 16x20,20,1,Pastelbord,white,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW18,Cs.(16) Pastelbord White 18x24,16,1,Pastelbord,white,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBW2436,Cs.(8) Pastelbord White 24x36,8,1,Pastelbord,white,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP05,Cs.(30) Gessoed Hardbd Pnl 5x7,30,1,Gessobord,,5,7,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP08,Cs.(36)Gessoed Hardbd Pnl 8x10,36,1,Gessobord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP09,Cs.(20)Gessoed Hardbd Pnl 9x12,20,1,Gessobord,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP1010,Cs(20)Gessoed Hardbd Pnl 10x10,20,1,Gessobord,,10,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP11,Cs(20)Gessoed Hardbd Pnl 11x14,20,1,Gessobord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP1212,Cs(20)Gessoed Hardbd Pnl 12x12,20,1,Gessobord,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP14,Cs(12)Gessoed Hardbd Pnl 14x18,12,1,Gessobord,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP18,Cs(16)Gessoed Hardbd Pnl 18x24,16,1,Gessobord,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP44,Cs(30) Gessoed Hardbd Pnl 4x4,30,1,Gessobord,,4,4,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP66,Cs(30) Gessoed Hardbd Pnl 6x6,30,1,Gessobord,,6,6,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GP88,Cs(30) Gessoed Hardbd Pnl 8x8,30,1,Gessobord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
WP150606,"Cs(10) 6x6 1.5"" Wood Panel",10,1,Natural Wood Panel,,6,6,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP150612,"Cs(10) 6x12 1.5"" Wood Panel",10,1,Natural Wood Panel,,6,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP150808,"Cs(10) 8x8 1.5"" Wood Panel",10,1,Natural Wood Panel,,8,8,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP150810,"Cs(10) 8x10 1.5"" Wood Panel",10,1,Natural Wood Panel,,8,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP150912,"Cs(10) 9x12 1.5"" Wood Panel",10,1,Natural Wood Panel,,9,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151010,"Cs(10) 10x10 1.5"" Wood Panel",10,1,Natural Wood Panel,,10,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
WP151114,"Cs(10) 11x14 1.5"" Wood Panel",10,1,Natural Wood Panel,,11,14,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
