SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width,,,,,,,,,,,,,
UPWP750404,"Cs(10) 4x4 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,4,4,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750406,"Cs(10) 4x6 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,4,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750505,"Cs(10) 5x5 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,5,5,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750507,"Cs(10) 5x7 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,5,7,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750606,"Cs(10) 6x6 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,6,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750612,"Cs(10) 6x12 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,6,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750808,"Cs(10) 8x8 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,8,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750810,"Cs(10) 8x10 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,8,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP750912,"Cs(10) 9x12 7/8"" Unprimed Bass",10,1,Artist Panel Basswood,,9,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751010,"Cs(10) 10x10 7/8"" Unprime Bass",10,1,Artist Panel Basswood,,10,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751114,"Cs(10) 11x14 7/8"" Unprime Bass",10,1,Artist Panel Basswood,,11,14,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751212,"Cs(10) 12x12 7/8"" Unprime Bass",10,1,Artist Panel Basswood,,12,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751216,"Cs(5) 12x16 7/8"" Unprimed Bass",5,1,Artist Panel Basswood,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751616,"Cs(5) 16x16 7/8"" Unprimed Bass",5,1,Artist Panel Basswood,,16,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751620,"Cs(5) 16x20 7/8"" Unprimed Bass",5,1,Artist Panel Basswood,,16,20,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751818,"Cs(5) 18x18 7/8"" UP Pine",5,1,Artist Panel Basswood,,18,18,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP751824,"Cs(5) 18x24 7/8"" Unprimed Bass",5,1,Artist Panel Basswood,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBS08,Case (36) 8x10 Claybord,36,1,Claybord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS088,Case (12) 8x8 Claybord,12,1,Claybord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS09,Case (20) 9x12 Claybord,20,1,Claybord,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS1010,Case (12) 10x10 Claybord,12,1,Claybord,,10,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS11,Case (20) 11x14 Claybord,20,1,Claybord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS12,Case (12) 12x16 Claybord,12,1,Claybord,,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS122,Case (12) Claybord 12x12,12,1,Claybord,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS12L,Case (12) 12 x 24 Claybord,12,1,Claybord,,12,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS14,Case (12) 14x18 Claybord,12,1,Claybord,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS1616,Case (12) 16x16 Claybord,12,1,Claybord,,16,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS18,Case (16) 18x24 Claybord,16,1,Claybord,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS18L,Case (6) 18 x 36 Claybord,6,1,Claybord,,18,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBS24,Case (8) 24x36 Claybord,8,1,Claybord,,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBSC055,Case (10) 5x5 Claybord Cradle,10,1,Claybord,,5,5,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC066,Case (10) 6x6 Claybord Cradle,10,1,Claybord,,6,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC08,Case (12) 8x10 Claybord Cradle,12,1,Claybord,,8,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC088,Case (10) 8x8 Claybord Cradle,10,1,Claybord,,8,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC09,Case (10) 9x12 Claybord Cradle,10,1,Claybord,,9,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC1010,Case (10)10x10 Claybord Cradle,10,1,Claybord,,10,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC11,Case(10) 11x14 Claybord Cradle,10,1,Claybord,,11,14,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC12,Case(10) 12x16 Claybord Cradle,10,1,Claybord,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC122,Case(10) 12x12 Claybord Cradle,10,1,Claybord,,12,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC12L,Case (6) 12x24 Claybord Cradle,6,1,Claybord,,12,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC14,Case(10) 14x18 Claybord Cradle,10,1,Claybord,,14,18,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC16,Case (8) 16x20 Claybord Cradle,8,1,Claybord,,16,20,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC18,Case (8) 18x24 Claybord Cradle,8,1,Claybord,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
CBSC24,Case (4) 24x36 Claybord Cradle,4,1,Claybord,,24,36,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HB18,Case(16) 18x24 Hardbord,16,1,Hardbord,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB18L,Case(6) 18 x 36 Hardbord,6,1,Hardbord,,18,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB24,Case(8) 24x36 Hardbord,8,1,Hardbord,,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HBC06,Case(10) 6x8 Hardbord Cradled,10,1,Hardbord,,6,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC0606,Case(10) 6x6 Hardbord Cradled,10,1,Hardbord,,6,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC08,Case(12) 8x10 Hardbord Cradled,12,1,Hardbord,,8,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC0808,Case(10) 8x8 Hardbord Cradled,10,1,Hardbord,,8,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC09,Case(10) 9x12 Hardbord Cradled,10,1,Hardbord,,9,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC11,Cs.(10) 11x14 Hardbord Cradled,10,1,Hardbord,,11,14,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC12,Cs.(10) 12x16 Hardbord Cradled,10,1,Hardbord,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC12L,Cs.(6) 12x24 Hardbord Cradled,6,1,Hardbord,,12,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC14,Cs.(10) 14x18 Hardbord Cradled,10,1,Hardbord,,14,18,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC16,Cs.(8) 16x20 Hardbord Cradled,8,1,Hardbord,,16,20,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC18,Cs.(8) 18x24 Hardbord Cradled,8,1,Hardbord,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HBC18L,Cs.(4) 18x36 Hardbord Cradled,4,1,Hardbord,,18,36,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBS08,Case (36) 8x10 Gessobord,36,1,Gessobord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS088,Case (12) 8x8 Gessobord,12,1,Gessobord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS09,Case (20) 9x12 Gessobord,20,1,Gessobord,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS1010,Case (12) 10x10 Gessobord,12,1,Gessobord,,10,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS11,Case (20) 11x14 Gessobord,20,1,Gessobord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS12,Case (12) 12x16 Gessobord,12,1,Gessobord,,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS122,Case (12) 12x12 Gessobord,12,1,Gessobord,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS12L,Case (12) 12x24 Gessobord,12,1,Gessobord,,12,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS14,Case (12) 14x18 Gessobord,12,1,Gessobord,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS16,Case (20) 16x20 Gessobord,20,1,Gessobord,,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS1616,Case (12) 16x16 Gessobord,12,1,Gessobord,,16,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS18,Case (16) 18x24 Gessobord,16,1,Gessobord,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS18L,Case (6) 18x36 Gessobord,6,1,Gessobord,,18,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBS24,Case (8) 24x36 Gessobord,8,1,Gessobord,,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
GBSC055,Cs.(10) 5x5 Gessobord Cradled,10,1,Gessobord,,5,5,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC066,Cs.(10) 6x6 Gessobord Cradled,10,1,Gessobord,,6,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC08,Cs.(12) 8x10 Gessobord Cradled,12,1,Gessobord,,8,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC088,Cs.(10) 8x8 Gessobord Cradled,10,1,Gessobord,,8,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC09,Cs.(10) 9x12 Gessobord Cradled,10,1,Gessobord,,9,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC1010,Cs.(10)10x10 Gessobord Cradled,10,1,Gessobord,,10,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC11,Cs.(10) 11x14 GessobordCradled,10,1,Gessobord,,11,14,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC12,Cs.(10) 12x16 GessobordCradled,10,1,Gessobord,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC122,Cs.(10) 12x12 GessobordCradled,10,1,Gessobord,,12,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC12L,Cs.(6) 12x24 Gessobord Cradled,6,1,Gessobord,,12,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC14,Cs.(10) 14x18 GessobordCradled,10,1,Gessobord,,14,18,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC16,Cs.(8) 16x20 Gessobord Cradled,8,1,Gessobord,,16,20,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC18,Cs.(8) 18x24 Gessobord Cradled,8,1,Gessobord,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC18L,Cs.(4) 18x36 Gessobord Cradled,4,1,Gessobord,,18,36,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
GBSC24,Cs.(4) 24x36 Gessobord Cradled,4,1,Gessobord,,24,36,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
HB12,Case(12) 12x16 Hardbord,12,1,Hardbord,,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB122,Case(12) 12x12 Hardbord,12,1,Hardbord,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB12L,Case(12) 12x24 Hardbord,12,1,Hardbord,,12,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB14,Case(12) 14x18 Hardbord,12,1,Hardbord,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB16,Case(20) 16x20 Hardbord,20,1,Hardbord,,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB08,Case(36) 8x10 Hardbord,36,1,Hardbord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB09,Case(20) 9x12 Hardbord,20,1,Hardbord,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB08,Case (36) 8x10 Scratchbord,36,1,Scratchbord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB088,Case (12) 8x8 Scratchbord,12,1,Scratchbord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB12,Case (12) 12x16 Scratchbord,12,1,Scratchbord,,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB122,Case (12) 12x12 Scratchbord,12,1,Scratchbord,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB14,Case (12) 14x18 Scratchbord,12,1,Scratchbord,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB16,Case (20) 16x20 Scratchbord,20,1,Scratchbord,,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB18,Case (16) 18x24 Scratchbord,16,1,Scratchbord,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB24,Case (8) 24x36 Scratchbord,8,1,Scratchbord,,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
HB11,Case(20) 11 x 14 Hardbord,20,1,Hardbord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBG08,Case(36) 8x10 Pastelbord Green,36,1,Pastelbord,green,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBG11,Cs.(20) 11x14 Pastelbord Green,20,1,Pastelbord,green,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBG16,Cs.(20) 16x20 Pastelbord Green,20,1,Pastelbord,green,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBG18,Cs.(16) 18x24 Pastelbord Green,16,1,Pastelbord,green,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS08,Case(36) 8x10 Pastelbord Sand,36,1,Pastelbord,sand,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS09,Cs.(20) 9x12 Pastelbord SAND,20,1,Pastelbord,sand,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS11,Cs.(20) 11x14 Pastelbord Sand,20,1,Pastelbord,sand,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS12,Case(12) 12x16 Pastelbord Sand,12,1,Pastelbord,sand,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS1212,Cs.(12) 12x12 Pastelbord Sand,12,1,Pastelbord,sand,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS16,Cs.(20) 16x20 Pastelbord Sand,20,1,Pastelbord,sand,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS18,Case(16) 18x24 Pastelbord Sand,16,1,Pastelbord,sand,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PBS2436,Cs.(8) 24x36 Pastelbord Sand,8,1,Pastelbord,sand,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
PB24,Case(8) 24x36 Pastelbord,8,1,Pastelbord,gray,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT08,Cs.(36) 8x10 Aquabord,36,1,Aquabord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT088,Cs. (12) 8x8 Aquabord,12,1,Aquabord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT09,Cs.(20) 9x12 Aquabord,20,1,Aquabord,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT11,Cs.(20) 11x14 Aquabord,20,1,Aquabord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT12,Cs.(12) 12x16 Aquabord,12,1,Aquabord,,12,16,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT122,Cs.(12) 12x12 Aquabord,12,1,Aquabord,,12,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT14,Cs.(12) 14x18 Aquabord,12,1,Aquabord,,14,18,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT16,Cs.(20) 16x20 Aquabord,20,1,Aquabord,,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT18,Cs.(16) 18x24 Aquabord,16,1,Aquabord,,18,24,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT22,Cs.(6) 22x30 Aquabord,6,1,Aquabord,,22,30,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBT24,Cs.(8) 24x36 Aquabord,8,1,Aquabord,,24,36,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
AP9M 044,"Cs(10) 3/8"" Artist Panel - 4x4",10,1,Artist Panel,,4,4,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 055,"Cs(10) 3/8"" Artist Panel - 5x5",10,1,Artist Panel,,5,5,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 088,"Cs(10) 3/8"" Artist Panel - 8x8",10,1,Artist Panel,,8,8,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 1010,"Cs(10) 3/8"" Artist Panel-10x10",10,1,Artist Panel,,10,10,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 1114,"Cs(10) 3/8"" Artist Panel-11x14",10,1,Artist Panel,,11,14,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 1216,"Cs(5) 3/8"" Artist Panel-12x16",5,1,Artist Panel,,12,16,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 122,"Cs(10) 3/8"" Artist Panel-12x12",10,1,Artist Panel,,12,12,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 1620,"Cs(5) 3/8"" Artist Panel-16x20",5,1,Artist Panel,,16,20,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 1824,"Cs(5) 3/8"" Artist Panel-18x24",5,1,Artist Panel,,18,24,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 612,"Cs(5) 3/8"" Artist Panel - 6x12",5,1,Artist Panel,,6,12,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 810,"Cs(10) 3/8"" Artist Panel- 8x10",10,1,Artist Panel,,8,10,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
AP9M 912,"Cs(10) 3/8"" Artist Panel- 9x12",10,1,Artist Panel,,9,12,"3/8""",-,"3/8""",-,,,,,,,,,,,,,
APC.75 055,"Cs(10) 3/4"" Crad ArtistP - 5x5",10,1,Artist Panel,,5,5,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 066,"Cs(10) 3/4"" Crad ArtistP - 6x6",10,1,Artist Panel,,6,6,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 088,"Cs(10) 3/4"" Crad ArtistP - 8x8",10,1,Artist Panel,,8,8,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 1114,"Cs(10) 3/4"" Crad ArtistP-11x14",10,1,Artist Panel,,11,14,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 1216,"Cs(5) 3/4"" Crad ArtistP- 12x16",5,1,Artist Panel,,12,16,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 122,"Cs(10) 3/4"" Crad ArtistP-12x12",10,1,Artist Panel,,12,12,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 612,"Cs(5) 3/4"" Crad ArtistP - 6x12",5,1,Artist Panel,,6,12,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 810,"Cs(10) 3/4"" Crad ArtistP- 8x10",10,1,Artist Panel,,8,10,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC.75 912,"Cs(5) 3/4"" Crad ArtistP - 9x12",5,1,Artist Panel,,9,12,"1/8""","5/8""","3/4""","3/4""",,,,,,,,,,,,,
APC1.5 044,"Cs(10) 1.5"" Crad ArtistP - 4x4",10,1,Artist Panel,,4,4,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 055,"Cs(10) 1.5"" Crad ArtistP - 5x5",10,1,Artist Panel,,5,5,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 066,"Cs(10) 1.5"" Crad ArtistP - 6x6",10,1,Artist Panel,,6,6,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 088,"Cs(10) 1.5"" Crad ArtistP - 8x8",10,1,Artist Panel,,8,8,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1010,"Cs(5) 1.5"" Crad ArtistP- 10x10",5,1,Artist Panel,,10,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1114,"Cs(5) 1.5"" Crad ArtistP- 11x14",5,1,Artist Panel,,11,14,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1216,"Cs(5) 1.5"" Crad ArtistP- 12x16",5,1,Artist Panel,,12,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 122,"Cs(5) 1.5"" Crad ArtistP- 12x12",5,1,Artist Panel,,12,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1616,"Cs(5) 1.5"" Crad ArtistP- 16x16",5,1,Artist Panel,,16,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1620,"Cs(5) 1.5"" Crad ArtistP- 16x20",5,1,Artist Panel,,16,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1818,"Cs(5) 1.5"" Crad ArtistP- 18x18",5,1,Artist Panel,,18,18,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 1824,"Cs(5) 1.5"" Crad ArtistP- 18x24",5,1,Artist Panel,,18,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 612,"Cs(5) 1.5"" Crad ArtistP - 6x12",5,1,Artist Panel,,6,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 810,"Cs(10) 1.5"" Crad ArtistP- 8x10",10,1,Artist Panel,,8,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
APC1.5 912,"Cs(5) 1.5"" Crad ArtistP - 9x12",5,1,Artist Panel,,9,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC150612,"Cs(5) 1.5"" Crad Encaustic 6x12",5,1,Encausticbord,,6,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC150624,"Cs(5) 1.5"" Crad Encaustic 6x24",5,1,Encausticbord,,6,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC15066,"Cs(5) 1.5"" Crad Encaustic 6x6",5,1,Encausticbord,,6,6,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC150810,"Cs(5) 1.5"" Crad Encaustic 8x10",5,1,Encausticbord,,8,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC15088,"Cs(5) 1.5"" Crad Encaustic 8x8",5,1,Encausticbord,,8,8,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC150912,"Cs(5) 1.5"" Crad Encaustic 9x12",5,1,Encausticbord,,9,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151010,"Cs(5) 1.5"" Crad Encaust 10x10",5,1,Encausticbord,,10,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151114,"Cs(5) 1.5"" Crad Encaust 11x14",5,1,Encausticbord,,11,14,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151212,"Cs(5) 1.5"" Crad Encaust 12x12",5,1,Encausticbord,,12,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151216,"Cs(5) 1.5"" Crad Encaust 12x16",5,1,Encausticbord,,12,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151616,"Cs(5) 1.5"" Crad Encaust 16x16",5,1,Encausticbord,,16,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151620,"Cs(5) 1.5"" Crad Encaust 16x20",5,1,Encausticbord,,16,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151818,"Cs(5) 1.5"" Crad Encaust 18x18",5,1,Encausticbord,,18,18,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC151824,"Cs(5) 1.5"" Crad Encaust 18x24",5,1,Encausticbord,,18,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC152424,"Cs(5) 1.5"" Crad Encaust 24x24",5,1,Encausticbord,,24,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC152436,"Cs(2)1.5"" Crad Encaustic 24x36",2,1,Encausticbord,,24,36,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC153030,"Cs(2) 1.5"" Crad Encaust 30x30",2,1,Encausticbord,,30,30,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
ENC20612,"Cs(4) 2"" Crad Encaustic 6x12",4,1,Encausticbord,,6,12,"1/8""","2""","2 1/8""","3/4""",,,,,,,,,,,,,
ENC20624,"Cs(4) 2"" Crad Encaustic 6x24",4,1,Encausticbord,,6,24,"1/8""","2""","2 1/8""","3/4""",,,,,,,,,,,,,
ENC2066,"Cs(4) 2"" Crad Encaustic 6x6",4,1,Encausticbord,,6,6,"1/8""","2""","2 1/8""","3/4""",,,,,,,,,,,,,
