SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
80383040,Cs(5) 30x40 3.8cm Unprimed WP,5,1,Artist Panel Basswood,,30,40,"1/8""","1 3/8""","1.5""","3/4"""
80384040,Cs(5) 40x40 3.8cm Unprimed WP,5,1,Artist Panel Basswood,,40,40,"1/8""","1 3/8""","1.5""","3/4"""
80384060,Cs(5) 40x60 3.8cm Unprimed WP,5,1,Artist Panel Basswood,,40,60,"1/8""","1 3/8""","1.5""","3/4"""
70091010,(10)10x10 Canvas Texture 9mm,10,1,Artist Panel,,10,10,"3/8""",-,"3/8""",-
70091530,(10)15x30 Canvas Texture 9mm,10,1,Artist Panel,,15,30,"3/8""",-,"3/8""",-
70091824,(10)18x24 Canvas Texture 9mm,10,1,Artist Panel,,18,24,"3/8""",-,"3/8""",-
70092020,(10)20x20 Canvas Texture 9mm,10,1,Artist Panel,,20,20,"3/8""",-,"3/8""",-
70092030,(10)20x30 Canvas Texture 9mm,10,1,Artist Panel,,20,30,"3/8""",-,"3/8""",-
70092430,(10)24x30 Canvas Texture 9mm,10,1,Artist Panel,,24,30,"3/8""",-,"3/8""",-
70093030,(10)30x30 Canvas Texture 9mm,10,1,Artist Panel,,30,30,"3/8""",-,"3/8""",-
70093040,(5)30x40 Canvas Texture 9mm,5,1,Artist Panel,,30,40,"3/8""",-,"3/8""",-
70094050,(5)40x50 Canvas Texture 9mm,5,1,Artist Panel,,40,50,"3/8""",-,"3/8""",-
70094060,(5)40x60 Canvas Texture 9mm,5,1,Artist Panel,,40,60,"3/8""",-,"3/8""",-
70191530,(10)15x30 Canvas Texture 1.9cm,10,1,Artist Panel,,15,30,"1/8""","5/8""","3/4""","3/4"""
70191824,(10)18x24 Canvas Texture 1.9cm,10,1,Artist Panel,,18,24,"1/8""","5/8""","3/4""","3/4"""
70192020,(10)20x20 Canvas Texture 1.9cm,10,1,Artist Panel,,20,20,"1/8""","5/8""","3/4""","3/4"""
70192030,(10)20x30 Canvas Texture 1.9cm,10,1,Artist Panel,,20,30,"1/8""","5/8""","3/4""","3/4"""
70192430,(10)24x30 Canvas Texture 1.9cm,10,1,Artist Panel,,24,30,"1/8""","5/8""","3/4""","3/4"""
70193030,(10)30x30 Canvas Texture 1.9cm,10,1,Artist Panel,,30,30,"1/8""","5/8""","3/4""","3/4"""
70193040,(5)30x40 Canvas Texture 1.9cm,5,1,Artist Panel,,30,40,"1/8""","5/8""","3/4""","3/4"""
70381530,(10)15x30 Canvas Texture 3.8cm,10,1,Artist Panel,,15,30,"1/8""","1 3/8""","1.5""","3/4"""
70381824,(10)18x24 Canvas Texture 3.8cm,10,1,Artist Panel,,18,24,"1/8""","1 3/8""","1.5""","3/4"""
70382020,(10)20x20 Canvas Texture 3.8cm,10,1,Artist Panel,,20,20,"1/8""","1 3/8""","1.5""","3/4"""
70382030,(10)20x30 Canvas Texture 3.8cm,10,1,Artist Panel,,20,30,"1/8""","1 3/8""","1.5""","3/4"""
70382430,(5)24x30 Canvas Texture 3.8cm,5,1,Artist Panel,,24,30,"1/8""","1 3/8""","1.5""","3/4"""
70383030,(5)30x30 Canvas Texture 3.8cm,5,1,Artist Panel,,30,30,"1/8""","1 3/8""","1.5""","3/4"""
70383040,(5)30x40 Canvas Texture 3.8cm,5,1,Artist Panel,,30,40,"1/8""","1 3/8""","1.5""","3/4"""
70384040,(5)40x40 Canvas Texture 3.8cm,5,1,Artist Panel,,40,40,"1/8""","1 3/8""","1.5""","3/4"""
70384050,(5)40x50 Canvas Texture 3.8cm,5,1,Artist Panel,,40,50,"1/8""","1 3/8""","1.5""","3/4"""
70384060,(5)40x60 Canvas Texture 3.8cm,5,1,Artist Panel,,40,60,"1/8""","1 3/8""","1.5""","3/4"""
10031318,(10)13x18 Claybord 3mm,10,1,Claybord,,13,18,"1/8""",-,"1/8""",-
10032020,(10)20x20 Claybord 3mm,10,1,Claybord,,20,20,"1/8""",-,"1/8""",-
10032430,(10)24x30 Claybord 3mm,10,1,Claybord,,24,30,"1/8""",-,"1/8""",-
10033030,(10)30x30 Claybord 3mm,10,1,Claybord,,30,30,"1/8""",-,"1/8""",-
10033040,(10)30x40 Claybord 3mm,10,1,Claybord,,30,40,"1/8""",-,"1/8""",-
10034040,(10)40x40 Claybord 3mm,10,1,Claybord,,40,40,"1/8""",-,"1/8""",-
10034050,(10)40x50 Claybord 3mm,10,1,Claybord,,40,50,"1/8""",-,"1/8""",-
10034060,(10)40x60 Claybord 3mm,10,1,Claybord,,40,60,"1/8""",-,"1/8""",-
10035070,(5)50x70 Claybord 3mm,5,1,Claybord,,50,70,"1/8""",-,"1/8""",-
10222020,(10)20x20 Claybord 2.2cm,10,1,Claybord,,20,20,"1/8""","3/4""","7/8""","3/4"""
10222030,(10)20x30 Claybord 2.2cm,10,1,Claybord,,20,30,"1/8""","3/4""","7/8""","3/4"""
10222430,(5)24x30 Claybord 2.2cm,5,1,Claybord,,24,30,"1/8""","3/4""","7/8""","3/4"""
10223030,(5)30x30 Claybord 2.2cm,5,1,Claybord,,30,30,"1/8""","3/4""","7/8""","3/4"""
10223040,(5)30x40 Claybord 2.2cm,5,1,Claybord,,30,40,"1/8""","3/4""","7/8""","3/4"""
10224050,(5)40x50 Claybord 2.2cm,5,1,Claybord,,40,50,"1/8""","3/4""","7/8""","3/4"""
