cradled/flat,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit
cradled,48,48.5,25,A:47.8  I:24.25(2)->A:25 I:24.25(1)___I:12.25(1)->A25 I:24.25(1)___I:10.25->A:25.4 I:18.25(3),1,2,24,24,in,1,1,12,24,in,1,3,8,10,in,,,,,,,,,,,,,,,
cradled,48,48.5,25,A:47.8  I:30.25(1)->A:25 I:24.25(1)___I:6.25(1)->A:25.2 I:12.25(2),1,1,24,30,in,1,2,12,16,in,,,,,,,,,,,,,,,,,,,,
cradled,48,48.5,25,A:47.8  I:30.25(1)->A:25 I:24.25(1)___I:8.25(2)->A:25.4 I:8.25(3),1,1,24,30,in,1,6,8,8,in,,,,,,,,,,,,,,,,,,,,
cradled,48,48.5,25,A:47.8  I:36.25(1)->A:25 I:24.25(1)___I:10.25(1)->A:25.4 I:8.25(3),1,1,24,36,in,1,3,8,10,in,,,,,,,,,,,,,,,,,,,,
cradled,48,48.5,25,A:48  I:8.25(1)->A:25.2 I:24.25(1)___I:5.25(1)->A:24 I:5.25(4),1,5,8,24,in,1,4,5,5,in,,,,,,,,,,,,,,,,,,,,
cradled,48,48.5,25,A:48  I:8.25(5)->A:25.4 I:8.25(3)___I:5.25(1)->A:24 I:5.25(4),1,15,8,8,in,1,4,5,5,in,,,,,,,,,,,,,,,,,,,,
cradled,36,48.5,25,A:47.8  I:36.25(1)->A:25.2 I:12.25(2)___I:9.25(1)->A:25.2 I12.25(2),1,2,12,36,in,1,2,9,12,in,,,,,,,,,,,,,,,,,,,,
cradled,36,48.5,25,A:47.8  I:18.25(2)->A:25 I:24.25(1)___I:10(1)->A:25 I:8(3),1,2,18,24,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
cradled,36,48.5,25,A:48  I:20.25(2)->A:25 I:24.25(1)___I:6.25(1)->A:25.65 I:6.25(4),1,2,20,24,in,1,4,6,6,in,,,,,,,,,,,,,,,,,,,,
cradled,36,48.5,25,A:47.8  I:24.25(2)->A:25 I:24.25(1)___I:12.25(1)->A:25 I:24.25(1)___I:10(1)->A:25.4 I:8(3),1,2,24,24,in,1,1,12,24,in,0,3,8,10,in,,,,,,,,,,,,,,,
cradled,36,48.5,25,A:47.8  I:30.25(1)->A:25 I:24.25(1)___I:8(2)->A:25.4 I:8(3),1,1,24,30,in,0,6,8,8,in,,,,,,,,,,,,,,,,,,,,
cradled,36,48.5,25,A:47.8  I:36.25(1)->A:25 I:24.25(1)___I:10.25(1)->A:25.4 I:8.25(3),1,1,24,36,in,1,3,8,10,in,,,,,,,,,,,,,,,,,,,,
cradled,30,48.5,25,A:48  I:10.25(4)->A:25.4 I:8.25(3)___I:6.25(1)->A:25.4 I:12.25(2),1,12,8,10,in,1,2,6,12,in,,,,,,,,,,,,,,,,,,,,
cradled,30,48.5,25,A:47.8  I:9.25(5)->A:25.2 I:12.25(2),1,10,9,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
cradled,24,48.5,25,A:48  I:24.25(1)->A:25 I:24.25___I:10(1)->A:25 I:8(3)___I:12(1)->A:25 I:12(2),1,1,24,24,in,0,3,8,10,in,0,2,12,12,in,,,,,,,,,,,,,,,
cradled,24c,48.5,25,A:48  I:6(1)->A:25.2 I:6(4)___I:5(1)->A:25.2 I:7(2) I:5(2)___I:12.25(2)->A:25.25 I:12.25(2)___I:5(1)->A:25.2 I:7(2) I:5(2)___I:6(1)->A:25.2 I:6(4),1,4,12,12,in,0,8,6,6,in,0,4,5,7,in,0,4,5,5,in,,,,,,,,,,
cradled,24c,48.5,25,A:48  I:6(1)->A:25.2 I:6(4)___I:5(1)->A:25.2 I:7(2) I:5(2)___I:24.25(1)->A:25.25 I:24.25(1)___I:5(1)->A:25.2 I:7(2) I:5(2)___I:6(1)->A:25.2 I:6(4),1,1,24,24,in,0,8,6,6,in,0,4,5,7,in,0,4,5,5,in,,,,,,,,,,
cradled,18 x 36,48.5,25,A:25.65  I:6(1)->A:48 I:6(7)___I:18.25(1)->A:47.8 I:36.25(1) I:10(1)___A:17.2 I:8(2)___A:4(1),1,1,18,36,in,0,7,6,6,in,0,2,8,10,in,0,1,4,4,in,,,,,,,,,,
cradled,18 x 36,48.5,25,A:25.65  I:7(1)->A:47.8 I:5(9)___I:18.25(1)->A:48 I:36.25(1) I:10(1)___A:17 I:8(2),1,1,18,36,in,0,9,5,7,in,0,2,8,10,in,,,,,,,,,,,,,,,
flat,48,48.5,25,A:47.8  I:8(2)->A:25 I:24(1)___I:10(1)->A:25 I:8(3),0,2,18,24,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,48,48.5,25,A:47.8  I:36(1)->A:25 I:24(1)___I:10(1)->A:25 I:8(3),0,1,24,36,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:47.8  I:12(3)->A:25 I:12(2)___I:9(1)->A:25 I:12(2),0,6,12,12,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:47.8  I:8(2)->A:25 I:24(1)___I:9(1)->A:25 I:12(2),0,2,18,24,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:25.65  I:18(1)->A:47.8 I:36(1)___I:17(1)->A47.5 I:5(9)___I:7(1)->A:17 I:8(2),0,1,18,36,in,0,9,5,7,in,0,2,8,10,in,,,,,,,,,,,,,,,
flat,36,48.5,25,A:25.65  I:6(1)->A:48->I:6(7)___I:18(1)->A:47.8 I:36(1) I:10(1)___A:17.2 I 8(2)___A:4(1),0,1,18,36,in,0,7,6,6,in,0,2,8,10,in,0,1,4,4,in,,,,,,,,,,
