Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit
3,24,49.25,39,A:48.85  I:24(1)->A:37.5 I:18(2)___I:12(2)->A:37.5 I:9(4),0,2,18,24,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
3,36,49.25,39,A:49  I:9(2)->A:37.5 I:12(3)___I:30.25->A:38 I:30.25 I:6.25___A:29.4 I:24.25 I:4___A:4,1,1,30,30,in,1,1,24,30,in,0,1,4,30,0,6,9,12,in,,,,,,,,,,,
3,30,49.25,39,A:49  I:9(2)->A:37.5 I:12(3)___I:30.25->A:38 I:30.25 I:6.25___A:29.4 I:24.25 I:4___A:4,1,1,30,30,in,1,1,24,30,in,0,1,4,30,0,6,9,12,in,,,,,,,,,,,
3,36,49.25,39,A:49  I:9(2)->A:37.5 I:12(3)___I:30.25->A:38 I:30.25 I:6.25___A:30 I:6.25(4) I:4___A:4,1,1,30,30,in,1,4,6,6,in,0,1,4,4,1,6,9,12,in,,,,,,,,,,,
3,30,49.25,39,A:49  I:9(2)->A:37.5 I:12(3)___I:30.25->A:38 I:30.25 I:6.25___A:30 I:6.25(4) I:4___A:4,1,1,30,30,in,1,4,6,6,in,0,1,4,4,1,6,9,12,in,,,,,,,,,,,
4,24,49.25,39,A:48.9  I:12(4)->A:37.8 I:9(4),0,16,9,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,49.25,39,A:48.9  I:12(4)->A:37.8 I:9(4),0,16,9,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,49.25,39,A:48.9  I:12(4)->A:37.5 I:12(3),0,12,12,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
4,18,49.25,39,A:48.9  I:12(4)->A:37.5 I:12(3),0,12,12,12,in,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,49.25,39,A:48.9  I:6(7)->A:38 I:6(6)___I:5(1)->A:37.4 I:7(5),0,42,6,6,in,0,5,5,7,in,,,,,,,,,,,,,,,,,,,,
4,12,49.25,39,A:48.9  I:6(7)->A:38 I:6(6)___I:5(1)->A:37.6 I:5(7),0,42,6,6,in,0,7,5,5,in,,,,,,,,,,,,,,,,,,,,
4,12,49.25,39,A:49.1  I:8(6)->A:38 I:6(6),0,36,6,8,in,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,49.25,39,A:48.8  I:7(6)->A:37.6 I:5(7)___I:5(1)->A:37.4 I:7(5),0,47,5,7,in,,,,,,,,,,,,,,,,,,,,,,,,,
