PatternNumber,Pnemonic,CuttingInstructions,PanelDepth,PanelUnit,Quanity,Dimension 1,Dimension 2,Unit 1,Quanity,Dimension 1,Dimension 2,Unit 2
1,39,place instructions here,0.125,in,2,39,49.25,in,1,18,48.5,in
2,32,place instructions here,0.125,in,3,32,48.5,in,,,,
3,25.88,place instructions here,0.125,in,3,25.88,48.5,in,1,18,48.5,in
4,18,place instructions here,0.125,in,5,18,48.5,in,2,5,24,in
5,15.75,place instructions here,0.125,in,6,15.75,48.5,in,,,,
6,32,place instructions here',0.25,in,3,32,49.25,in,,,,
7,25.88,place instructions here,0.25,in,3,25.88,49.25,in,1,18,49.25,in
