SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
PB0618,Case(20) 6x18 Pastelbord,20,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB066,Case(30) 6x6 Pastelbord,30,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB08,Case(36) 8x10 Pastelbord,36,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB0808,Case(12) 8x8 Pastelbord,12,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB09,Case(20) 9x12 Pastelbord,20,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB11,Case(20) 11x14 Pastelbord,20,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB12,Case(12) 12x16 Pastelbord,12,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB122,Case(12) 12x12 Pastelbord,12,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB14,Case(12) 14x18 Pastelbord,12,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB16,Case(20) 16x20 Pastelbord,20,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
PB18,Case(16) 18x24 Pastelbord,16,1,Pastelbord,gray,,,"1/8""",-,"1/8""",-
IAMPFBRUSH,Fiberglass Brush,,,,,,,,,,
IAMPSN1,Scratch Nib - Point,,,,,,,,,,
IAMPSN2,Scratch Nib - Knife,,,,,,,,,,
IAMPSN3,Scratch Nib - Scraper,,,,,,,,,,
IAMPSNHOLDER,Scratch Nib Holder,,,,,,,,,,
IAMPTNEEDLE,Aluminum Multi-Needle Tool,,,,,,,,,,
IAMPWBRUSH,Wood Handle Wire Brush,,,,,,,,,,
ICBB09,"Claybord Black - 9""x12""",,,,,,,,,,
IMAXDVD,Scratchbord DVD,,,,,,,,,,
IMAXVID,Scratchboard Video,,,,,,,,,,
IOCONNOR,Birgit O'Connor,,,,,,,,,,
KIT2,(12) Scratch Kit-Bird & Paintb,,,,,,,,,,
KIT2D,(12) Scratch Kit-Daisies,,,,,,,,,,
KIT2I,(12) Scratch Kit-IRIS,,,,,,,,,,
