Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit4,Cradled,Quantity,Dimension 1,Dimension 2,Unit5,Cradled,Quantity,Dimension 1,Dimension 2,Unit
page 4,48,48.5,32,A:48  I:30.25(1)->A:31 I:30.25___I:10.25(1)->A:31 I:30.25___I:6.25(1)->A:31.6 I:12.25(2)___I:6.25(1),1,1,30,30,in,1,1,10,30,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,
page 4,48,48.5,32,A:48  I:30.25(1)->A:31 I:30.25(1)___I:10.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.9 I:6.2(5),1,1,30,30,in,1,1,10,30,in,1,5,6,6,in,,,,,,,,,,,,,,,
page 4,40,48.5,32,A:48  I:30.25(1)->A:31 I:30.25(1)___I:10.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.9 I:6.2(5),1,1,30,30,in,1,1,10,30,in,1,5,6,6,in,,,,,,,,,,,,,,,
page 4,48,48.5,32,A:48  I:30.25(1)->A:31 I:30.25(1)___I:10.25->A:31.4 I:20.25(1) I:10.25(1)___I:6.25->A:31.4 I:24.25(1) I:6.25(1),1,1,30,30,in,1,1,10,20,in,1,1,10,10,in,1,1,6,24,in,1,1,6,6,in,,,,,
page 4,48,48.5,32,A:48  I:30.25->A:31 I:30.25(1)___I:10.25->A:31.4 I:20.25(1) I:10.25(1)___I:6.25->A:31.6 I:12.25(2)___I:6.25(1),1,1,30,30,in,1,1,10,20,in,1,1,10,10,in,1,2,6,12,in,1,1,6,6,in,,,,,
page 4,40,48.5,32,A:48  I:30.25->A:31 I:30.25(1)___I:10.25->A:31.4 I:20.25(1) I:10.25(1)___I:6.25->A:31.6 I:12.25(2)___I:6.25(1),1,1,30,30,in,1,1,10,20,in,1,1,10,10,in,1,2,6,12,in,1,1,6,6,in,,,,,
page 5,48,48.5,32,A:48  I:30.25->A:31 I:30.25___I:10.25->A:31.4 I:20.25(1) I:10.25___I:6.25->A:31.9 I:6.2(5),1,1,30,30,in,1,1,10,20,in,1,1,10,10,in,1,5,6,6,in,,,,,,,,,,
page 5,40,48.5,32,A:48  I:30.25->A:31 I:30.25___I:10.25->A:31.4 I:20.25(1) I:10.25___I:6.25->A:31.9 I:6.2(5),1,1,30,30,in,1,1,10,20,in,1,1,10,10,in,1,5,6,6,in,,,,,,,,,,
page 5,48,48.5,32,A:48  I:30.25(1)->A:31 I:30.25(1)___I:10.25->A:31.6 I:10.25(3)___I:6.25->A:31.4 I:24.25(1) I:6.25(1),1,1,30,30,in,1,3,10,10,in,1,1,6,24,in,1,1,6,6,in,,,,,,,,,,
page 5,48,48.5,32,A:48  I:30.25->A:31 I:30.25(1)___I:10.25->A:31.6 I:10.25(3)___I:6.25->A:31.6 I:12.25(2) I:6.25(1),1,1,30,30,in,1,3,10,10,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,
page 5,40,48.5,32,A:48  I:30.25->A:31 I:30.25(1)___I:10.25->A:31.6 I:10.25(3)___I:6.25->A:31.6 I:12.25(2) I:6.25(1),1,1,30,30,in,1,3,10,10,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,
page 5,48,48.5,32,A:48  I:30.25->A:31 I:30.25(1)___I:10.25->A:31.6 I:10.25(3)___I:6.25->A:31.9 I:6.2(5),1,1,30,30,in,1,3,10,10,in,1,5,6,6,in,,,,,,,,,,,,,,,
page 5,40,48.5,32,A:48  I:30.25->A:31 I:30.25(1)___I:10.25->A:31.6 I:10.25(3)___I:6.25->A:31.9 I:6.2(5),1,1,30,30,in,1,3,10,10,in,1,5,6,6,in,,,,,,,,,,,,,,,
